,match,bowlingTeam,bowler,overs,maiden,runs,wicktes,economy,zeros,fours,sixex,wides,noBalls,match_id
89,Australia Vs Afghanistan,Australia,Rashid Khan,4,0,29,1,7.25,9,2,1,1,0,T20I # 1864
90,Australia Vs Afghanistan,Australia,Mohammad Nabi,1,0,14,0,14,1,1,1,0,0,T20I # 1864
91,Australia Vs Afghanistan,Afghanistan,Josh Hazlewood,4,0,33,2,8.25,13,2,3,0,0,T20I # 1864
92,Australia Vs Afghanistan,Afghanistan,Pat Cummins,4,0,22,0,5.5,12,2,0,0,0,T20I # 1864
93,Australia Vs Afghanistan,Afghanistan,Marcus Stoinis,2,0,26,0,13,2,2,1,2,0,T20I # 1864
94,Australia Vs Afghanistan,Afghanistan,Kane Richardson,4,0,48,1,12,4,3,3,1,0,T20I # 1864
95,Australia Vs Afghanistan,Afghanistan,Adam Zampa,4,0,22,2,5.5,11,1,0,0,0,T20I # 1864
96,Australia Vs Afghanistan,Afghanistan,Cameron Green,2,0,13,0,6.5,7,1,1,0,0,T20I # 1864
97,New Zealand Vs Ireland,New Zealand,Josh Little,4,0,22,3,5.5,10,2,0,1,0,T20I # 1862
98,New Zealand Vs Ireland,New Zealand,Mark Adair,4,0,39,1,9.75,9,3,1,3,0,T20I # 1862
99,New Zealand Vs Ireland,New Zealand,Barry McCarthy,4,0,46,0,11.5,4,4,2,0,0,T20I # 1862
100,New Zealand Vs Ireland,New Zealand,Gareth Delany,4,0,30,2,7.5,11,3,1,1,0,T20I # 1862
101,New Zealand Vs Ireland,New Zealand,Fionn Hand,2,0,22,0,11,2,2,1,0,0,T20I # 1862
102,New Zealand Vs Ireland,New Zealand,George Dockrell,2,0,18,0,9,4,2,0,2,0,T20I # 1862
103,New Zealand Vs Ireland,Ireland,Trent Boult,4,0,38,0,9.5,8,4,1,0,0,T20I # 1862
104,New Zealand Vs Ireland,Ireland,Tim Southee,4,0,29,2,7.25,8,2,1,0,0,T20I # 1862
105,New Zealand Vs Ireland,Ireland,Lockie Ferguson,4,0,22,3,5.5,10,1,0,0,0,T20I # 1862
106,New Zealand Vs Ireland,Ireland,Mitchell Santner,4,0,26,2,6.5,12,3,1,0,0,T20I # 1862
107,New Zealand Vs Ireland,Ireland,Ish Sodhi,4,0,31,2,7.75,10,0,2,1,0,T20I # 1862
108,Pakistan Vs South Africa,Pakistan,Wayne Parnell,4,0,31,1,7.75,10,3,1,0,0,T20I # 1861
109,Pakistan Vs South Africa,Pakistan,Kagiso Rabada,4,0,44,1,11,7,4,2,0,0,T20I # 1861
110,Pakistan Vs South Africa,Pakistan,Lungi Ngidi,4,0,32,1,8,11,3,1,2,0,T20I # 1861
111,Pakistan Vs South Africa,Pakistan,Anrich Nortje,4,0,41,4,10.25,11,1,4,0,1,T20I # 1861
112,Pakistan Vs South Africa,Pakistan,Tabraiz Shamsi,4,0,36,1,9,8,2,2,2,0,T20I # 1861
113,Pakistan Vs South Africa,South Africa,Shaheen Shah Afridi,3,0,14,3,4.66,11,2,0,0,0,T20I # 1861
114,Pakistan Vs South Africa,South Africa,Naseem Shah,3,0,19,1,6.33,10,1,1,1,0,T20I # 1861
115,Pakistan Vs South Africa,South Africa,Haris Rauf,3,0,44,1,14.66,2,7,1,1,0,T20I # 1861
116,Pakistan Vs South Africa,South Africa,Mohammad Wasim,2,0,13,1,6.5,3,1,0,0,0,T20I # 1861
117,Pakistan Vs South Africa,South Africa,Shadab Khan,2,0,16,2,8,5,1,1,0,0,T20I # 1861
118,Pakistan Vs South Africa,South Africa,Mohammad Nawaz,1,0,2,0,2,4,0,0,0,0,T20I # 1861
119,India Vs Bangladesh,India,Taskin Ahmed,4,0,15,0,3.75,16,2,0,0,0,T20I # 1860
120,India Vs Bangladesh,India,Shoriful Islam,4,0,57,0,14.25,7,4,4,2,2,T20I # 1860
