,match,team,batting_Pos,batsman,out/not out,run,ball,m,fours,sixes,strike_rate,match_id
120,Australia Vs Afghanistan,Afghanistan,6,Najibullah Zadran,out,0,2,3,0,0,0,T20I # 1864
121,Australia Vs Afghanistan,Afghanistan,7,Darwish Rasooli,out,15,13,28,1,0,115.38,T20I # 1864
122,Australia Vs Afghanistan,Afghanistan,8,Rashid Khan,not out,48,23,27,3,4,208.69,T20I # 1864
123,Australia Vs Afghanistan,Afghanistan,9,Naveen-ul-Haq,not out,0,0,4,0,0,-,T20I # 1864
124,New Zealand Vs Ireland,New Zealand,1,Finn Allen,out,32,18,30,5,1,177.77,T20I # 1862
125,New Zealand Vs Ireland,New Zealand,2,Devon Conway †,out,28,33,55,2,0,84.84,T20I # 1862
126,New Zealand Vs Ireland,New Zealand,3,Kane Williamson (c),out,61,35,59,5,3,174.28,T20I # 1862
127,New Zealand Vs Ireland,New Zealand,4,Glenn Phillips,out,17,9,9,2,1,188.88,T20I # 1862
128,New Zealand Vs Ireland,New Zealand,5,Daryl Mitchell,not out,31,21,35,2,0,147.61,T20I # 1862
129,New Zealand Vs Ireland,New Zealand,6,James Neesham,out,0,1,3,0,0,0,T20I # 1862
130,New Zealand Vs Ireland,New Zealand,7,Mitchell Santner,out,0,1,2,0,0,0,T20I # 1862
131,New Zealand Vs Ireland,New Zealand,8,Tim Southee,not out,1,2,7,0,0,50,T20I # 1862
132,New Zealand Vs Ireland,Ireland,1,Paul Stirling,out,37,27,39,3,1,137.03,T20I # 1862
133,New Zealand Vs Ireland,Ireland,2,Andy Balbirnie (c),out,30,25,36,0,3,120,T20I # 1862
134,New Zealand Vs Ireland,Ireland,3,Lorcan Tucker †,out,13,14,30,0,0,92.85,T20I # 1862
135,New Zealand Vs Ireland,Ireland,4,Harry Tector,out,2,7,4,0,0,28.57,T20I # 1862
136,New Zealand Vs Ireland,Ireland,5,Gareth Delany,out,10,8,12,2,0,125,T20I # 1862
137,New Zealand Vs Ireland,Ireland,6,George Dockrell,out,23,15,24,3,0,153.33,T20I # 1862
138,New Zealand Vs Ireland,Ireland,7,Curtis Campher,out,7,7,10,1,0,100,T20I # 1862
139,New Zealand Vs Ireland,Ireland,8,Fionn Hand,out,5,3,7,1,0,166.66,T20I # 1862
140,New Zealand Vs Ireland,Ireland,9,Mark Adair,out,4,5,9,0,0,80,T20I # 1862
141,New Zealand Vs Ireland,Ireland,10,Barry McCarthy,not out,6,5,10,0,0,120,T20I # 1862
142,New Zealand Vs Ireland,Ireland,11,Josh Little,not out,8,4,3,0,1,200,T20I # 1862
143,Pakistan Vs South Africa,Pakistan,1,Mohammad Rizwan †,out,4,4,4,1,0,100,T20I # 1861
144,Pakistan Vs South Africa,Pakistan,2,Babar Azam (c),out,6,15,29,0,0,40,T20I # 1861
145,Pakistan Vs South Africa,Pakistan,3,Mohammad Haris,out,28,11,19,2,3,254.54,T20I # 1861
146,Pakistan Vs South Africa,Pakistan,4,Shan Masood,out,2,6,11,0,0,33.33,T20I # 1861
147,Pakistan Vs South Africa,Pakistan,5,Iftikhar Ahmed,out,51,35,73,3,2,145.71,T20I # 1861
148,Pakistan Vs South Africa,Pakistan,6,Mohammad Nawaz,out,28,22,32,4,1,127.27,T20I # 1861
149,Pakistan Vs South Africa,Pakistan,7,Shadab Khan,out,52,22,31,3,4,236.36,T20I # 1861
150,Pakistan Vs South Africa,Pakistan,8,Mohammad Wasim,out,0,1,1,0,0,0,T20I # 1861
151,Pakistan Vs South Africa,Pakistan,9,Naseem Shah,not out,5,3,3,0,0,166.66,T20I # 1861
152,Pakistan Vs South Africa,Pakistan,10,Haris Rauf,out,3,2,2,0,0,150,T20I # 1861
153,Pakistan Vs South Africa,South Africa,1,Temba Bavuma (c),out,36,19,39,4,1,189.47,T20I # 1861
154,Pakistan Vs South Africa,South Africa,2,Quinton de Kock †,out,0,5,6,0,0,0,T20I # 1861
155,Pakistan Vs South Africa,South Africa,3,Rilee Rossouw,out,7,6,10,0,1,116.66,T20I # 1861
156,Pakistan Vs South Africa,South Africa,4,Aiden Markram,out,20,14,28,4,0,142.85,T20I # 1861
157,Pakistan Vs South Africa,South Africa,5,Heinrich Klaasen,out,15,9,18,3,0,166.66,T20I # 1861
158,Pakistan Vs South Africa,South Africa,6,Tristan Stubbs,out,18,18,28,0,1,100,T20I # 1861
