,match,bowlingTeam,bowler,overs,maiden,runs,wicktes,economy,zeros,fours,sixex,wides,noBalls
70,Netherlands Vs South Africa,South Africa,Logan van Beek,3,0,23,0,7.66,4,1,1,0,0
71,Netherlands Vs South Africa,South Africa,Bas de Leede,3,0,25,2,8.33,4,1,0,1,2
72,Sri Lanka Vs England,Sri Lanka,Ben Stokes,3,0,24,1,8.00,8,1,2,0,0
73,Sri Lanka Vs England,Sri Lanka,Chris Woakes,3,0,24,1,8.00,5,3,0,1,0
74,Sri Lanka Vs England,Sri Lanka,Mark Wood,3,0,26,3,8.66,8,1,2,1,0
75,Sri Lanka Vs England,Sri Lanka,Sam Curran,4,0,27,1,6.75,10,2,1,0,0
76,Sri Lanka Vs England,Sri Lanka,Adil Rashid,4,0,16,1,4.00,11,0,0,0,0
77,Sri Lanka Vs England,Sri Lanka,Liam Livingstone,2,0,16,0,8.00,2,0,1,0,0
78,Sri Lanka Vs England,Sri Lanka,Moeen Ali,1,0,5,0,5.00,1,0,0,0,0
79,Sri Lanka Vs England,England,Maheesh Theekshana,4,0,22,0,5.50,11,1,0,1,0
80,Sri Lanka Vs England,England,Kasun Rajitha,3,0,40,0,13.33,4,5,1,2,0
81,Sri Lanka Vs England,England,Lahiru Kumara,3.4,0,24,2,6.54,11,3,0,0,1
82,Sri Lanka Vs England,England,Wanindu Hasaranga,4,0,23,2,5.75,11,1,1,0,0
83,Sri Lanka Vs England,England,Dhananjaya de Silva,4,0,24,2,6.00,7,1,0,0,0
84,Sri Lanka Vs England,England,Charith Asalanka,1,0,8,0,8.00,1,1,0,0,0
85,Australia Vs Afghanistan,Australia,Fazalhaq Farooqi,4,0,29,2,7.25,13,4,1,0,0
86,Australia Vs Afghanistan,Australia,Mujeeb Ur Rahman,4,0,42,1,10.50,5,4,1,1,0
87,Australia Vs Afghanistan,Australia,Naveen-ul-Haq,4,0,21,3,5.25,11,2,0,0,0
88,Australia Vs Afghanistan,Australia,Gulbadin Naib,3,0,31,0,10.33,6,3,2,0,0
89,Australia Vs Afghanistan,Australia,Rashid Khan,4,0,29,1,7.25,9,2,1,1,0
90,Australia Vs Afghanistan,Australia,Mohammad Nabi,1,0,14,0,14.00,1,1,1,0,0
91,Australia Vs Afghanistan,Afghanistan,Josh Hazlewood,4,0,33,2,8.25,13,2,3,0,0
92,Australia Vs Afghanistan,Afghanistan,Pat Cummins,4,0,22,0,5.50,12,2,0,0,0
93,Australia Vs Afghanistan,Afghanistan,Marcus Stoinis,2,0,26,0,13.00,2,2,1,2,0
94,Australia Vs Afghanistan,Afghanistan,Kane Richardson,4,0,48,1,12.00,4,3,3,1,0
95,Australia Vs Afghanistan,Afghanistan,Adam Zampa,4,0,22,2,5.50,11,1,0,0,0
96,Australia Vs Afghanistan,Afghanistan,Cameron Green,2,0,13,0,6.50,7,1,1,0,0
97,New Zealand Vs Ireland,New Zealand,Josh Little,4,0,22,3,5.50,10,2,0,1,0
98,New Zealand Vs Ireland,New Zealand,Mark Adair,4,0,39,1,9.75,9,3,1,3,0
99,New Zealand Vs Ireland,New Zealand,Barry McCarthy,4,0,46,0,11.50,4,4,2,0,0
100,New Zealand Vs Ireland,New Zealand,Gareth Delany,4,0,30,2,7.50,11,3,1,1,0
101,New Zealand Vs Ireland,New Zealand,Fionn Hand,2,0,22,0,11.00,2,2,1,0,0
102,New Zealand Vs Ireland,New Zealand,George Dockrell,2,0,18,0,9.00,4,2,0,2,0
103,New Zealand Vs Ireland,Ireland,Trent Boult,4,0,38,0,9.50,8,4,1,0,0
104,New Zealand Vs Ireland,Ireland,Tim Southee,4,0,29,2,7.25,8,2,1,0,0
105,New Zealand Vs Ireland,Ireland,Lockie Ferguson,4,0,22,3,5.50,10,1,0,0,0
106,New Zealand Vs Ireland,Ireland,Mitchell Santner,4,0,26,2,6.50,12,3,1,0,0
107,New Zealand Vs Ireland,Ireland,Ish Sodhi,4,0,31,2,7.75,10,0,2,1,0
108,Pakistan Vs South Africa,Pakistan,Wayne Parnell,4,0,31,1,7.75,10,3,1,0,0
109,Pakistan Vs South Africa,Pakistan,Kagiso Rabada,4,0,44,1,11.00,7,4,2,0,0
110,Pakistan Vs South Africa,Pakistan,Lungi Ngidi,4,0,32,1,8.00,11,3,1,2,0
111,Pakistan Vs South Africa,Pakistan,Anrich Nortje,4,0,41,4,10.25,11,1,4,0,1
112,Pakistan Vs South Africa,Pakistan,Tabraiz Shamsi,4,0,36,1,9.00,8,2,2,2,0
113,Pakistan Vs South Africa,South Africa,Shaheen Shah Afridi,3,0,14,3,4.66,11,2,0,0,0
114,Pakistan Vs South Africa,South Africa,Naseem Shah,3,0,19,1,6.33,10,1,1,1,0
115,Pakistan Vs South Africa,South Africa,Haris Rauf,3,0,44,1,14.66,2,7,1,1,0
116,Pakistan Vs South Africa,South Africa,Mohammad Wasim,2,0,13,1,6.50,3,1,0,0,0
117,Pakistan Vs South Africa,South Africa,Shadab Khan,2,0,16,2,8.00,5,1,1,0,0
118,Pakistan Vs South Africa,South Africa,Mohammad Nawaz,1,0,2,0,2.00,4,0,0,0,0
119,India Vs Bangladesh,India,Taskin Ahmed,4,0,15,0,3.75,16,2,0,0,0
120,India Vs Bangladesh,India,Shoriful Islam,4,0,57,0,14.25,7,4,4,2,2
121,India Vs Bangladesh,India,Hasan Mahmud,4,0,47,3,11.75,7,6,2,0,1
122,India Vs Bangladesh,India,Mustafizur Rahman,4,0,31,0,7.75,9,4,0,0,0
123,India Vs Bangladesh,India,Shakib Al Hasan,4,0,33,2,8.25,3,2,0,0,0
124,India Vs Bangladesh,Bangladesh,Bhuvneshwar Kumar,3,0,27,0,9.00,7,2,2,0,0
125,India Vs Bangladesh,Bangladesh,Arshdeep Singh,4,0,38,2,9.50,10,5,1,0,0
126,India Vs Bangladesh,Bangladesh,Mohammed Shami,3,0,25,1,8.33,7,2,1,0,0
127,India Vs Bangladesh,Bangladesh,Axar Patel,1,0,6,0,6.00,2,0,0,0,0
128,India Vs Bangladesh,Bangladesh,Ravichandran Ashwin,2,0,19,0,9.50,4,3,0,1,0
129,India Vs Bangladesh,Bangladesh,Hardik Pandya,3,0,28,2,9.33,8,1,3,0,0
130,Zimbabwe Vs Netherlands,Zimbabwe,Fred Klaassen,4,0,17,1,4.25,17,0,1,2,0
131,Zimbabwe Vs Netherlands,Zimbabwe,Paul van Meekeren,4,0,29,3,7.25,13,3,0,2,0
132,Zimbabwe Vs Netherlands,Zimbabwe,Brandon Glover,4,1,29,2,7.25,15,2,2,2,0
133,Zimbabwe Vs Netherlands,Zimbabwe,Logan van Beek,2.2,0,17,2,7.28,8,1,1,1,0
