,match,team,batting_Pos,batsman,out/not out,run,ball,m,fours,sixes,strike_rate
176,India Vs Bangladesh,Bangladesh,5,Yasir Ali,c Arshdeep Singh b Pandya,1,3,8,0,0,33.33
177,India Vs Bangladesh,Bangladesh,6,Nurul Hasan †,not out,25,14,29,2,1,178.57
178,India Vs Bangladesh,Bangladesh,7,Mosaddek Hossain,b Pandya,6,3,4,0,1,200.00
179,India Vs Bangladesh,Bangladesh,8,Taskin Ahmed,not out,12,7,22,1,1,171.42
180,Zimbabwe Vs Netherlands,Zimbabwe,1,Wessly Madhevere,b van Meekeren,1,5,9,0,0,20.00
181,Zimbabwe Vs Netherlands,Zimbabwe,2,Craig Ervine (c),c †Edwards b Glover,3,12,18,0,0,25.00
182,Zimbabwe Vs Netherlands,Zimbabwe,3,Regis Chakabva †,lbw b Glover,5,16,18,1,0,31.25
183,Zimbabwe Vs Netherlands,Zimbabwe,4,Sean Williams,c O'Dowd b van Meekeren,28,23,39,3,0,121.73
184,Zimbabwe Vs Netherlands,Zimbabwe,5,Sikandar Raza,c Klaassen b de Leede,40,24,46,3,3,166.66
185,Zimbabwe Vs Netherlands,Zimbabwe,6,Milton Shumba,c Myburgh b van Beek,2,3,6,0,0,66.66
186,Zimbabwe Vs Netherlands,Zimbabwe,7,Ryan Burl,b van Meekeren,2,7,19,0,0,28.57
187,Zimbabwe Vs Netherlands,Zimbabwe,8,Luke Jongwe,c van Beek b de Leede,6,8,12,0,0,75.00
188,Zimbabwe Vs Netherlands,Zimbabwe,9,Richard Ngarava,c Myburgh b Klaassen,9,7,12,0,1,128.57
189,Zimbabwe Vs Netherlands,Zimbabwe,10,Tendai Chatara,not out,6,7,15,0,0,85.71
190,Zimbabwe Vs Netherlands,Zimbabwe,11,Blessing Muzarabani,c Glover b van Beek,1,4,9,0,0,25.00
191,Zimbabwe Vs Netherlands,Netherlands,1,Stephan Myburgh,c Burl b Muzarabani,8,7,15,0,1,114.28
192,Zimbabwe Vs Netherlands,Netherlands,2,Max O'Dowd,c Shumba b Muzarabani,52,47,70,8,1,110.63
193,Zimbabwe Vs Netherlands,Netherlands,3,Tom Cooper,c Madhevere b Jongwe,32,29,42,2,1,110.34
194,Zimbabwe Vs Netherlands,Netherlands,4,Colin Ackermann,c Jongwe b Ngarava,1,5,6,0,0,20.00
195,Zimbabwe Vs Netherlands,Netherlands,5,Bas de Leede,not out,12,12,21,2,0,100.00
196,Zimbabwe Vs Netherlands,Netherlands,6,Scott Edwards (c)†,c †Chakabva b Ngarava,5,6,8,1,0,83.33
197,Zimbabwe Vs Netherlands,Netherlands,7,Roelof van der Merwe,not out,0,3,6,0,0,0.00
198,England Vs New Zealand,England,1,Jos Buttler (c)†,run out (Williamson/Southee),73,47,82,7,2,155.31
199,England Vs New Zealand,England,2,Alex Hales,st †Conway b Santner,52,40,46,7,1,130.00
200,England Vs New Zealand,England,3,Moeen Ali,c Boult b Sodhi,5,6,13,0,0,83.33
201,England Vs New Zealand,England,4,Liam Livingstone,b Ferguson,20,14,20,1,1,142.85
202,England Vs New Zealand,England,5,Harry Brook,c Allen b Southee,7,3,6,0,1,233.33
203,England Vs New Zealand,England,6,Ben Stokes,lbw b Ferguson,8,7,11,0,0,114.28
